price,location,bedrooms,toilet,garage,LT,LB
750000000,"Kramat Jati, Jakarta Timur",2,1,1,1.0,1.0
2500000000,"Pondok Bambu, Jakarta Timur",4,3,N/A,120.0,120.0
1780000000,"Duri Kosambi, Jakarta Barat",3,2,2,90.0,N/A
2250000000,"Malang Kota, Malang",18,17,4,254.0,282.0
800000000,"Menganti, Gresik",2,1,1,90.0,120.0
1750000000,"Mulyosari, Surabaya",4,3,2,108.0,160.0
3800000000,"Mulyorejo, Surabaya",3,5,N/A,157.0,250.0
1900000000,"Sektor 1D-Gading Serpong, Tangerang",3,3,2,2.0,140.0
900000000,"Poris, Tangerang",3,3,1,53.0,100.0
1890000000,"Summarecon Tangerang, Tangerang",2,2,N/A,1.0,60.0
361000000,"Wates, Kulon Progo",2,1,N/A,127.0,50.0
166000000,"Kaliwates, Jember",2,1,N/A,66.0,27.0
1200000000,"Ubung, Denpasar",2,1,1,114.0,60.0
1800000000,"Teluk Naga, Tangerang",3,3,N/A,2.0,2.0
482000000,"Temon, Kulon Progo",3,1,N/A,128.0,65.0
495000000,"Cibaduyut, Bandung",2,1,1,60.0,50.0
1600000000,"Ciangsana, Bogor",4,3,1,100.0,185.0
2100000000,"Pondok Ranji, Tangerang Selatan",5,4,2,290.0,400.0
4400000000,"Manyar, Surabaya",3,2,1,16.0,240.0
65000000000,"Lakarsantri, Surabaya",9,11,3,1975.0,2375.0
